"Acronym, Common Name or Chemical Name",Chemical Formula,Lifetime (Years),Radiative Efficiency (W m-2 ppb-1),AGWP 20-year (W m-2 yr kg-1),GWP 20-year,AGWP 100-year (W m-2 yr kg-1),GWP 100-year,AGTP 20-year (K kg-1),GTP 20-year,AGTP 50-year (K kg-1),GTP 50-year,AGTP 100-year (K kg-1),GTP 100-year
HFE-356pcf2,CHF2CH2OCF2CHF2,5.7,0.37,6.4E-11,2560,6.59E-11,719,1.03E-12,1500,9.97E-14,162,5.5E-14,101
HFE-356pcf3,CHF2OCH2CF2CHF2,3.5,0.38,4.08E-11,1640,4.09E-11,446,5.11E-13,747,5.2E-14,84,3.39E-14,62
HFE-356pcc3,CH3OCF2CF2CHF2,3.8,0.32,3.77E-11,1510,3.79E-11,413,4.91E-13,718,4.89E-14,79,3.14E-14,57
HFE-356mmz1,(CF3)2CHOCH3,0.265845311,0.15,1.25E-12,50,1.25E-12,14,1.02E-14,15,1.41E-15,2,1.02E-15,2
HFE-365mcf3,CF3CF2CH2OCH3,0.05284052,0.05,8.51E-14,3,8.51E-14,<1,6.8E-16,<1,9.56E-17,<1,6.99E-17,<1
HFE-365mcf2,CF3CF2OCH2CH3,0.6,0.26,5.35E-12,215,5.35E-12,58,4.53E-14,66,6.1E-15,10,4.4E-15,8
HFE-374pc2,CHF2CF2OCH2CH3,5,0.3,5.65E-11,2260,5.75E-11,627,8.48E-13,1240,8.12E-14,132,4.79E-14,88
"4,4,4-Trifluorobutan-1-ol",CF3(CH2)2CH2OH,0.010951403,0.01,1.73E-15,<1,1.73E-15,<1,1.38E-17,<1,1.94E-18,<1,1.42E-18,<1
"2,2,3,3,4,4,5,5-Octafluorocyclopentanol",-(CF2)4CH(OH)-,0.3,0.16,1.18E-12,47,1.18E-12,13,9.67E-15,14,1.33E-15,2,9.69E-16,2
"HFE-43-10pccc124 (H-Galden 1040x, HG-11)",CHF2OCF2OC2F4OCHF2,13.5,1.02,2E-10,8010,2.58E-10,2820,4.52E-12,6600,9.46E-13,1530,2.38E-13,436
HFE-449s1 (HFE-7100),C4F9OCH3,4.7,0.36,3.8E-11,1530,3.86E-11,421,5.54E-13,809,5.32E-14,86,3.21E-14,59
n-HFE-7100,n-C4F9OCH3,4.7,0.42,4.39E-11,1760,4.45E-11,486,6.39E-13,934,6.14E-14,99,3.7E-14,68
i-HFE-7100,i-C4F9OCH3,4.7,0.35,3.68E-11,1480,3.73E-11,407,5.35E-13,783,5.14E-14,83,3.1E-14,57
